,AgentName,steps,reward
362,SearchHuntAgent,90,80
363,SearchHuntAgent,81,89
364,SearchHuntAgent,55,115
365,SearchHuntAgent,96,74
366,SearchHuntAgent,67,103
367,SearchHuntAgent,55,115
368,SearchHuntAgent,49,121
369,SearchHuntAgent,63,107
370,SearchHuntAgent,43,127
371,SearchHuntAgent,48,122
372,SearchHuntAgent,66,104
373,SearchHuntAgent,56,114
374,SearchHuntAgent,78,92
375,SearchHuntAgent,61,109
376,SearchHuntAgent,69,101
377,SearchHuntAgent,64,106
378,SearchHuntAgent,66,104
379,SearchHuntAgent,59,111
380,SearchHuntAgent,62,108
381,SearchHuntAgent,53,117
382,SearchHuntAgent,68,102
383,SearchHuntAgent,83,87
384,SearchHuntAgent,63,107
385,SearchHuntAgent,90,80
386,SearchHuntAgent,69,101
387,SearchHuntAgent,62,108
388,SearchHuntAgent,62,108
389,SearchHuntAgent,67,103
390,SearchHuntAgent,53,117
391,SearchHuntAgent,92,78
392,SearchHuntAgent,99,71
393,SearchHuntAgent,62,108
394,SearchHuntAgent,49,121
395,SearchHuntAgent,63,107
396,SearchHuntAgent,44,126
397,SearchHuntAgent,61,109
398,SearchHuntAgent,54,116
399,SearchHuntAgent,63,107
400,SearchHuntAgent,51,119
401,SearchHuntAgent,44,126
402,SearchHuntAgent,99,71
403,SearchHuntAgent,77,93
404,SearchHuntAgent,66,104
405,SearchHuntAgent,60,110
406,SearchHuntAgent,48,122
407,SearchHuntAgent,89,81
408,SearchHuntAgent,60,110
409,SearchHuntAgent,55,115
410,SearchHuntAgent,73,97
411,SearchHuntAgent,65,105
412,SearchHuntAgent,85,85
413,SearchHuntAgent,78,92
414,SearchHuntAgent,51,119
415,SearchHuntAgent,59,111
416,SearchHuntAgent,69,101
417,SearchHuntAgent,76,94
418,SearchHuntAgent,66,104
419,SearchHuntAgent,58,112
420,SearchHuntAgent,82,88
421,SearchHuntAgent,66,104
422,SearchHuntAgent,63,107
423,SearchHuntAgent,67,103
424,SearchHuntAgent,63,107
425,SearchHuntAgent,81,89
426,SearchHuntAgent,57,113
427,SearchHuntAgent,66,104
428,SearchHuntAgent,66,104
429,SearchHuntAgent,67,103
430,SearchHuntAgent,58,112
431,SearchHuntAgent,64,106
432,SearchHuntAgent,58,112
433,SearchHuntAgent,61,109
434,SearchHuntAgent,91,79
435,SearchHuntAgent,47,123
436,SearchHuntAgent,61,109
437,SearchHuntAgent,63,107
438,SearchHuntAgent,79,91
439,SearchHuntAgent,72,98
440,SearchHuntAgent,84,86
441,SearchHuntAgent,84,86
442,SearchHuntAgent,52,118
443,SearchHuntAgent,46,124
444,SearchHuntAgent,38,132
445,SearchHuntAgent,52,118
446,SearchHuntAgent,34,136
447,SearchHuntAgent,81,89
448,SearchHuntAgent,63,107
449,SearchHuntAgent,52,118
450,SearchHuntAgent,83,87
451,SearchHuntAgent,59,111
452,SearchHuntAgent,62,108
453,SearchHuntAgent,63,107
454,SearchHuntAgent,66,104
455,SearchHuntAgent,66,104
456,SearchHuntAgent,77,93
457,SearchHuntAgent,75,95
458,SearchHuntAgent,59,111
459,SearchHuntAgent,52,118
460,SearchHuntAgent,50,120
461,SearchHuntAgent,78,92
462,SearchHuntAgent,75,95
463,SearchHuntAgent,61,109
464,SearchHuntAgent,65,105
465,SearchHuntAgent,77,93
466,SearchHuntAgent,60,110
467,SearchHuntAgent,79,91
468,SearchHuntAgent,57,113
469,SearchHuntAgent,51,119
470,SearchHuntAgent,77,93
471,SearchHuntAgent,73,97
472,SearchHuntAgent,75,95
473,SearchHuntAgent,64,106
474,SearchHuntAgent,63,107
475,SearchHuntAgent,55,115
476,SearchHuntAgent,59,111
477,SearchHuntAgent,80,90
478,SearchHuntAgent,87,83
479,SearchHuntAgent,88,82
480,SearchHuntAgent,84,86
481,SearchHuntAgent,46,124
482,SearchHuntAgent,64,106
483,SearchHuntAgent,62,108
484,SearchHuntAgent,78,92
485,SearchHuntAgent,79,91
486,SearchHuntAgent,68,102
487,SearchHuntAgent,73,97
488,SearchHuntAgent,77,93
489,SearchHuntAgent,74,96
490,SearchHuntAgent,75,95
491,SearchHuntAgent,68,102
492,SearchHuntAgent,86,84
493,SearchHuntAgent,52,118
494,SearchHuntAgent,71,99
495,SearchHuntAgent,56,114
496,SearchHuntAgent,78,92
497,SearchHuntAgent,84,86
498,SearchHuntAgent,66,104
499,SearchHuntAgent,47,123
